fold num,imgid,feature1,feature2,feature3
0,testimage/1.png,5307,166.5,590.5828220844269
1,testimage/1.png,5307,166.5,590.5828220844269
2,testimage/aron.jpg,48.5,0,450.3746713399887
3,testimage/1.png,5307,166.5,590.5828220844269
4,testimage/1.png,5307,166.5,590.5828220844269
5,testimage/1.png,5307,166.5,590.5828220844269
6,testimage/disease.png,40404,5490.5,1899.8721451759338
7,testimage/Dild.jpg,9.0,0,84.42640614509583
8,testimage/Dild.jpg,9.0,0,84.42640614509583
9,testimage/tomate.jpg,55.0,0,413.10259318351746
0,testimage/tomate.jpg,55.0,0,413.10259318351746
1,testimage/tomate.jpg,1569.0,0,2634.184977054596
2,testimage/tomate.jpg,1569.0,0,2634.184977054596
3,testimage/tomate.jpg,55.0,0,413.10259318351746
4,testimage/tomate.jpg,55.0,0,413.10259318351746
5,testimage/tomate.jpg,55.0,0,413.10259318351746
6,testimage/tomate.jpg,55.0,0,413.10259318351746
7,testimage/tomate.jpg,55.0,0,413.10259318351746
8,testimage/tomate.jpg,55.0,0,413.10259318351746
9,C:\Users\School\Desktop\CapstoneReal\testimage\tomate.jpg,55.0,0,413.10259318351746
0,C:\Users\School\Desktop\CapstoneReal\testimage\tomate.jpg,55.0,0,413.10259318351746
1,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
2,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
3,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
4,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
5,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
6,C:\Users\School\Desktop\CapstoneReal\testimage\tomate.jpg,55.0,0,413.10259318351746
7,C:\Users\School\Desktop\CapstoneReal\testimage\dild.jpg,9.0,0,84.42640614509583
8,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
9,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
0,C:\Users\School\Desktop\CapstoneReal\testimage\dild.jpg,9.0,0,84.42640614509583
1,C:\Users\School\Desktop\CapstoneReal\testimage\dild.jpg,9.0,0,84.42640614509583
2,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
3,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
4,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
5,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
6,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
7,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
8,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
9,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
0,testimage/dild.jpg,9.0,0,84.42640614509583
1,testimage/dild.jpg,65.0,0,797.6568541526794
2,testimage/dild.jpg,9.0,0,84.42640614509583
3,testimage/dild.jpg,9.0,0,84.42640614509583
4,testimage/dild.jpg,9.0,0,84.42640614509583
5,testimage/dild.jpg,9.0,0,84.42640614509583
6,testimage/dild.jpg,9.0,0,84.42640614509583
7,testimage/dild.jpg,9.0,0,84.42640614509583
8,testimage/dild.jpg,9.0,0,84.42640614509583
9,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
0,C:\Users\School\Desktop\CapstoneReal\testimage\1.png,5307,166.5,590.5828220844269
